building_id,daily_kwh,peak_kw,peak_hour,segment_hint
107374-0,1.2512,0.0712,18,low_peak
108289-0,3.3997,0.1671,18,low_peak
107424-0,5.2490,0.2741,17,low_peak
108615-0,6.3086,0.3744,19,low_peak
108971-0,6.0336,0.3745,14,low_peak
108695-0,7.3295,0.3992,15,low_peak
109414-0,6.3230,0.4154,16,low_peak
108537-0,6.2532,0.4873,05,low_peak
109159-0,9.7295,0.5721,12,low_peak
10825-0,8.0740,0.5847,17,low_peak
107828-0,9.3879,0.6023,08,low_peak
108527-0,8.4833,0.6140,16,low_peak
108816-0,11.9188,0.6426,02,low_peak
108063-0,9.1247,0.6442,20,low_peak
107820-0,12.3038,0.6482,22,low_peak
1084-0,12.3303,0.6543,19,low_peak
109191-0,12.0938,0.6794,19,low_peak
108923-0,12.5755,0.6938,21,low_peak
107617-0,13.6301,0.7037,17,low_peak
108573-0,14.6377,0.7505,15,low_peak
108159-0,11.9422,0.7552,19,low_peak
107964-0,13.0854,0.7593,19,low_peak
108844-0,12.1296,0.7726,21,low_peak
109069-0,14.7341,0.7800,11,low_peak
107757-0,9.7233,0.7942,17,low_peak
108664-0,16.4514,0.8010,17,low_peak
10843-0,12.1456,0.8483,20,low_peak
109029-0,15.7383,0.8710,19,low_peak
109128-0,17.0534,0.8949,20,low_peak
109473-0,13.7288,0.9081,18,low_peak
107428-0,13.3128,0.9659,17,low_peak
109086-0,14.6338,0.9721,18,low_peak
109039-0,17.2286,0.9847,16,low_peak
109190-0,16.9767,1.0023,10,low_peak
108151-0,13.5750,1.0102,20,mid_peak
107393-0,16.6707,1.0369,18,mid_peak
109390-0,14.1253,1.0442,12,mid_peak
109071-0,17.5760,1.0541,18,mid_peak
107731-0,14.3555,1.0596,17,mid_peak
10841-0,13.0379,1.0631,20,mid_peak
10756-0,19.4541,1.0867,17,mid_peak
108516-0,19.5237,1.1036,19,mid_peak
108482-0,18.1451,1.1104,19,mid_peak
108535-0,17.9626,1.1833,21,mid_peak
109508-0,20.6506,1.1849,20,mid_peak
1090-0,20.2481,1.2534,19,mid_peak
107418-0,20.5924,1.2687,20,mid_peak
108008-0,16.1723,1.2817,17,mid_peak
1080-0,19.5242,1.3020,19,mid_peak
108781-0,21.4939,1.3180,18,mid_peak
108640-0,20.1653,1.3318,20,mid_peak
107861-0,21.0385,1.3532,19,mid_peak
107337-0,20.0030,1.3563,16,mid_peak
108603-0,25.0389,1.3824,18,mid_peak
108894-0,23.3485,1.4036,20,mid_peak
109435-0,20.2343,1.4053,19,mid_peak
10906-0,25.4160,1.4079,19,mid_peak
108955-0,23.1887,1.4367,17,mid_peak
107514-0,21.5004,1.4387,21,mid_peak
107394-0,19.0369,1.4557,20,mid_peak
107849-0,24.2356,1.4806,13,mid_peak
107482-0,23.8991,1.4917,21,mid_peak
107700-0,25.8335,1.4996,21,mid_peak
108442-0,24.3774,1.5688,20,mid_peak
108901-0,12.2193,1.5697,20,mid_peak
108262-0,21.7222,1.5890,20,mid_peak
108968-0,24.3836,1.6006,17,mid_peak
108708-0,32.7017,1.6264,07,high_peak
107672-0,26.8204,1.6456,19,high_peak
107405-0,27.6640,1.6461,18,high_peak
109468-0,24.6210,1.6818,19,high_peak
108506-0,26.2474,1.6823,20,high_peak
108241-0,27.8051,1.7028,12,high_peak
109112-0,23.7018,1.7202,17,high_peak
10774-0 (1),30.2618,1.7363,19,high_peak
109295-0,30.8642,1.7441,19,high_peak
108812-0,31.5271,1.7901,07,high_peak
109199-0,31.2897,1.8076,17,high_peak
107548-0,33.3305,1.8562,18,high_peak
109275-0,29.9804,1.9012,12,high_peak
107908-0,30.8973,1.9197,20,high_peak
107325-0,36.2124,2.0739,20,high_peak
109274-0,33.1810,2.2094,20,high_peak
107846-0,41.0303,2.2158,07,high_peak
107568-0,37.5449,2.4302,19,high_peak
108352-0,52.2549,2.4767,07,high_peak
108422-0,48.3068,2.6029,09,high_peak
107554-0,37.0868,2.6735,19,high_peak
107386-0,54.2708,2.7332,08,high_peak
10763-0,39.9672,2.8368,20,high_peak
108429-0,47.0479,2.8721,18,high_peak
109441-0,61.1904,3.1013,21,high_peak
108629-0,53.1300,3.1612,20,high_peak
109044-0,67.8555,3.3812,08,high_peak
109423-0,59.2649,3.6223,11,high_peak
10933-0,80.8162,3.9855,08,high_peak
108332-0,52.4501,4.0447,20,high_peak
109013-0,72.7302,4.2135,06,high_peak
10832-0,111.8302,5.5065,07,high_peak
108438-0,155.0545,8.1054,20,high_peak
