source,state,building_type,weather_year,profile_day,hour,hvac_kw,water_heating_kw,lighting_kw,appliances_kw,plug_other_kw,unmapped_kw,total_kw,models_used,units_represented
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,0,0.4582,0.0602,0.0594,0.1139,0.2422,0.0000,0.9339,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,1,0.4409,0.0390,0.0460,0.0994,0.2359,0.0000,0.8612,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,2,0.4269,0.0247,0.0434,0.0915,0.2322,-0.0000,0.8188,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,3,0.4244,0.0180,0.0429,0.0880,0.2320,0.0000,0.8053,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,4,0.4209,0.0198,0.0423,0.0897,0.2376,0.0000,0.8102,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,5,0.4275,0.0327,0.0472,0.1004,0.2477,0.0000,0.8555,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,6,0.4459,0.0577,0.0787,0.1281,0.2586,0.0004,0.9694,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,7,0.4719,0.0789,0.1205,0.1614,0.2731,0.0013,1.1070,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,8,0.4997,0.0869,0.1380,0.1834,0.2944,0.0030,1.2054,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,9,0.5324,0.0883,0.1395,0.1926,0.3117,0.0052,1.2696,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,10,0.5660,0.0897,0.1374,0.1914,0.3171,0.0072,1.3088,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,11,0.6032,0.0897,0.1311,0.1896,0.3158,0.0084,1.3378,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,12,0.6411,0.0854,0.1252,0.1909,0.3156,0.0089,1.3671,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,13,0.6777,0.0777,0.1220,0.1849,0.3072,0.0088,1.3783,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,14,0.7077,0.0705,0.1227,0.1787,0.2987,0.0078,1.3862,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,15,0.7400,0.0668,0.1302,0.1821,0.3074,0.0063,1.4327,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,16,0.7626,0.0680,0.1505,0.2022,0.3331,0.0044,1.5208,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,17,0.7642,0.0741,0.1919,0.2265,0.3565,0.0024,1.6155,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,18,0.7340,0.0816,0.2574,0.2341,0.3602,0.0009,1.6681,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,19,0.6795,0.0864,0.3303,0.2217,0.3527,0.0002,1.6708,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,20,0.6141,0.0899,0.3789,0.2065,0.3393,0.0000,1.6287,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,21,0.5678,0.0935,0.3598,0.1916,0.3224,0.0000,1.5351,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,22,0.5258,0.0932,0.2222,0.1680,0.2890,0.0000,1.2982,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,annual_average,23,0.4887,0.0814,0.1142,0.1387,0.2578,0.0000,1.0808,13128,3178695.768
