source,state,building_type,weather_year,profile_day,hour,hvac_kw,water_heating_kw,lighting_kw,appliances_kw,plug_other_kw,unmapped_kw,total_kw,models_used,units_represented
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,0,1.2970,0.0384,0.0467,0.1133,0.2329,0.0000,1.7283,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,1,1.1757,0.0226,0.0420,0.1017,0.2323,0.0000,1.5743,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,2,1.0761,0.0145,0.0411,0.1001,0.2303,0.0000,1.4622,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,3,0.9880,0.0121,0.0408,0.0953,0.2322,0.0000,1.3685,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,4,0.9054,0.0126,0.0401,0.0933,0.2408,0.0000,1.2922,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,5,0.8509,0.0204,0.0444,0.1000,0.2513,0.0002,1.2672,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,6,0.9383,0.0357,0.0673,0.1251,0.2536,0.0016,1.4217,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,7,1.1322,0.0519,0.1062,0.1662,0.2554,0.0038,1.7159,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,8,1.3845,0.0709,0.1341,0.1973,0.2753,0.0067,2.0688,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,9,1.6339,0.0797,0.1423,0.2142,0.2877,0.0093,2.3671,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,10,1.8149,0.0842,0.1416,0.2096,0.2874,0.0112,2.5489,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,11,1.9298,0.0836,0.1328,0.2071,0.2861,0.0122,2.6516,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,12,2.0437,0.0802,0.1269,0.2121,0.2871,0.0127,2.7628,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,13,2.1487,0.0777,0.1252,0.2034,0.2746,0.0125,2.8420,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,14,2.2338,0.0709,0.1276,0.1936,0.2706,0.0117,2.9081,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,15,2.2866,0.0669,0.1325,0.1980,0.2877,0.0101,2.9818,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,16,2.3134,0.0656,0.1431,0.2154,0.3182,0.0079,3.0635,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,17,2.3005,0.0739,0.1591,0.2348,0.3336,0.0052,3.1070,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,18,2.2320,0.0787,0.1854,0.2389,0.3201,0.0027,3.0578,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,19,2.1078,0.0786,0.2329,0.2127,0.3096,0.0010,2.9427,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,20,1.9182,0.0792,0.2977,0.2053,0.2944,0.0001,2.7948,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,21,1.7483,0.0823,0.3336,0.1981,0.2796,0.0000,2.6420,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,22,1.5828,0.0794,0.2037,0.1704,0.2471,0.0000,2.2835,13128,3178695.768
NLR/OEDI EULP 2021 ResStock AMY2018,IL,Single-Family Detached,2018,2018-06-30,23,1.4103,0.0639,0.0802,0.1307,0.2351,0.0000,1.9202,13128,3178695.768
